Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL
LOPE,2025-01-31,SPY,XLF,MDY,LR,0.575,0.1,0.7111537886451762,1,0.04006446903265448,0.03906446903265448
EXLS,2025-01-31,SPY,XLI,,LR,0.575,0.1,0.7077935916866598,1,0.030562358131734094,0.029562358131734093
FIVE,2025-01-31,SPY,XLY,MDY,RF,0.65,0.08,0.5187620025428382,-1,-0.02718534587759803,0.026185345877598028
FBIN,2025-01-31,SPY,XLB,MDY,RF,0.65,0.02,0.5771531610542031,-1,-0.024598689950838193,0.023598689950838192
CPRI,2025-01-31,SPY,XLB,MDY,LR,0.6,0.04,0.5001221547284609,-1,-0.022943633684497255,0.021943633684497255
COTY,2025-01-31,SPY,XLB,MDY,RF,0.575,0.02,0.5149657989567282,-1,-0.0206997663169224,0.0196997663169224
JAZZ,2025-01-31,SPY,XLV,,RF,0.625,0.08,0.43476051477220606,-1,-0.019377909217953012,0.01837790921795301
BLD,2025-01-31,SPY,XLB,MDY,LR,0.65,0.02,0.5805711649851594,-1,-0.018993387561338892,0.01799338756133889
ENSG,2025-01-31,SPY,XLV,MDY,LR,0.625,0.1,0.7841436578967955,1,0.01862088364447044,0.01762088364447044
CHRD,2025-01-31,SPY,XLE,,RF,0.65,0.02,0.5595766784692886,-1,-0.01654758222025301,0.015547582220253008
OLLI,2025-01-31,SPY,XLY,MDY,LR,0.55,0.1,0.4162991119155675,-1,-0.016307451593948117,0.015307451593948116
BURL,2025-01-31,SPY,XLY,MDY,LR,0.65,0.02,0.5967223587854581,-1,-0.015798695931823953,0.014798695931823952
CNH,2025-01-31,SPY,XLB,MDY,RF,0.65,0.02,0.5220088797278924,-1,-0.011791609058432054,0.010791609058432055
TMHC,2025-01-31,SPY,XLB,MDY,RF,0.65,0.02,0.6033947013244566,-1,-0.010069840913810427,0.009069840913810426
MASI,2025-01-31,SPY,XLI,,LR,0.575,0.06,0.6650269086473263,1,0.008873539778940516,0.007873539778940515
IPGP,2025-01-31,SPY,XLK,MDY,LR,0.55,0.02,0.4701279192594116,-1,-0.008001117665355184,0.007001117665355184
AXTA,2025-01-31,SPY,XLB,MDY,LR,0.65,0.04,0.5887764261031003,-1,-0.007288473401019697,0.006288473401019697
POR,2025-01-31,SPY,XLU,,RF,0.575,0.02,0.4650967214874891,-1,-0.005512049282834677,0.004512049282834677
REXR,2025-01-31,SPY,XLRE,MDY,RF,0.65,0.02,0.5524899845241992,-1,-0.004484082809979908,0.003484082809979908
POST,2025-01-31,SPY,XLP,MDY,RF,0.65,0.08,0.5490465965629009,-1,-0.003512056164853947,0.002512056164853947
MTDR,2025-01-31,SPY,XLE,MDY,RF,0.65,0.06,0.5544748250442931,-1,-0.0019128838636904202,0.0009128838636904201
RGA,2025-01-31,SPY,XLF,MDY,RF,0.55,0.08,0.5282543860219187,0,0.02073580479602137,0.0
VAC,2025-01-31,SPY,XLI,MDY,RF,0.625,0.1,0.5667092845822639,0,0.01360319817788471,0.0
VOYA,2025-01-31,SPY,XLF,MDY,LR,0.65,0.06,0.6055858180308221,0,-0.0044651813615313295,-0.0
LEA,2025-01-31,SPY,XLB,MDY,RF,0.55,0.1,0.5343651535589918,0,-0.022942922393659075,-0.0
LITE,2025-01-31,SPY,XLK,,RF,0.6,0.06,0.5608725461542723,0,0.0464470146755394,0.0
LNTH,2025-01-31,SPY,XLB,MDY,RF,0.55,0.04,0.5319670653781893,0,-0.04751275991822611,-0.0
VNOM,2025-01-31,SPY,XLE,MDY,RF,0.55,0.1,0.5388668570803218,0,0.026308463072392686,0.0
VC,2025-01-31,SPY,XLB,MDY,RF,0.625,0.08,0.5720135632555825,0,-0.01918074128840979,-0.0
MUSA,2025-01-31,SPY,XLP,MDY,LR,0.575,0.1,0.6125555340956493,0,0.017777716231630776,0.0
PBF,2025-01-31,SPY,XLE,MDY,RF,0.6,0.08,0.578487973094072,0,-0.04378695061949345,-0.0
IRT,2025-01-31,SPY,XLRE,MDY,RF,0.575,0.1,0.5166205909274401,0,0.015926449572508963,0.0
PCTY,2025-01-31,SPY,XLY,,RF,0.55,0.1,0.4911462273700093,0,0.02473008086868974,0.0
UAA,2025-01-31,SPY,XLB,MDY,LR,0.575,0.02,0.5649931938626839,0,-0.00247123849671939,-0.0
TRU,2025-01-31,SPY,XLI,,RF,0.55,0.1,0.5278486411592449,0,-0.006277629834061738,-0.0
