Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL,Suite,SignalDate
CG,2024-04-30,SPY,XLI,MDY,RF,0.6,0.02,0.5421865475139825,-1,-0.07709359671240808,0.07609359671240808,SPY,2024-04-30
PCTY,2024-04-30,SPY,XLY,,LR,0.625,0.04,0.5178319875955589,-1,-0.03056874009634359,0.02956874009634359,SPY,2024-04-30
FBIN,2024-04-30,SPY,XLB,MDY,RF,0.6,0.02,0.5400694842459061,-1,-0.029793575296492108,0.028793575296492107,SPY,2024-04-30
WU,2024-04-30,SPY,XLB,,RF,0.6,0.06,0.49212167235236437,-1,-0.0268980387462199,0.0258980387462199,SPY,2024-04-30
UAA,2024-04-30,SPY,XLB,MDY,LR,0.625,0.02,0.524622096062806,-1,-0.016202816519495008,0.015202816519495007,SPY,2024-04-30
AR,2024-04-30,SPY,XLE,MDY,LR,0.625,0.1,0.5054359747430351,-1,-0.014457070521073808,0.013457070521073807,SPY,2024-04-30
VNOM,2024-04-30,SPY,XLE,MDY,RF,0.6,0.02,0.5739339014104177,-1,-0.012082031908422351,0.01108203190842235,SPY,2024-04-30
GLPI,2024-04-30,SPY,XLRE,MDY,LR,0.65,0.02,0.6750920824749578,1,0.01006541154967407,0.009065411549674069,SPY,2024-04-30
ENSG,2024-04-30,SPY,XLV,MDY,LR,0.575,0.1,0.6966181000452465,1,0.008891891844821177,0.007891891844821176,SPY,2024-04-30
MTSI,2024-04-30,SPY,XLK,,LR,0.575,0.02,0.5256585257477018,-1,-0.005083840321550261,0.004083840321550261,SPY,2024-04-30
MTDR,2024-04-30,SPY,XLE,MDY,RF,0.575,0.06,0.6425267378538853,1,0.004992868836081844,0.003992868836081844,SPY,2024-04-30
JAZZ,2024-04-30,SPY,XLV,,LR,0.65,0.02,0.536353527389298,-1,-0.004715692800012114,0.0037156928000121143,SPY,2024-04-30
NWE,2024-04-30,SPY,XLU,MDY,RF,0.6,0.02,0.5222867962232202,-1,-0.0023439868402936933,0.0013439868402936933,SPY,2024-04-30
TMHC,2024-04-30,SPY,XLB,MDY,RF,0.625,0.06,0.5439955711327541,-1,-0.0021351686818967177,0.0011351686818967177,SPY,2024-04-30
LOPE,2024-04-30,SPY,XLF,MDY,LR,0.6,0.1,0.5986137741864823,0,0.009272137100785777,0.0,SPY,2024-04-30
MASI,2024-04-30,SPY,XLI,,LR,0.6,0.1,0.6416595253185133,0,0.00033290717595647564,0.0,SPY,2024-04-30
LNTH,2024-04-30,SPY,XLB,MDY,LR,0.65,0.06,0.6391422551200242,0,0.01213996101604365,0.0,SPY,2024-04-30
PBF,2024-04-30,SPY,XLE,MDY,LR,0.55,0.08,0.5935409959760826,0,0.004992231701943876,0.0,SPY,2024-04-30
MUSA,2024-04-30,SPY,XLP,MDY,RF,0.55,0.1,0.5829147719552981,0,-0.0013892397064305575,-0.0,SPY,2024-04-30
NSA,2024-04-30,SPY,XLRE,MDY,LR,0.65,0.08,0.5988988356958145,0,0.01605926022991896,0.0,SPY,2024-04-30
WMS,2024-04-30,SPY,XLB,MDY,RF,0.575,0.1,0.6089350310974165,0,0.007866822848559225,0.0,SPY,2024-04-30
LITE,2024-04-30,SPY,XLK,,RF,0.625,0.06,0.5713106718914623,0,0.011766701967128566,0.0,SPY,2024-04-30
LEA,2024-04-30,SPY,XLB,MDY,RF,0.55,0.1,0.5996463744895508,0,-0.01675764961896556,-0.0,SPY,2024-04-30
OGS,2024-04-30,SPY,XLU,MDY,RF,0.65,0.08,0.6185094458895298,0,-0.0015504800509928167,-0.0,SPY,2024-04-30
OLLI,2024-04-30,SPY,XLY,MDY,LR,0.55,0.08,0.48954116259459596,0,-0.010212498530619599,-0.0,SPY,2024-04-30
VAC,2024-04-30,SPY,XLI,MDY,RF,0.6,0.04,0.5652020040643773,0,0.001169718872614365,0.0,SPY,2024-04-30
VOYA,2024-04-30,SPY,XLF,MDY,LR,0.65,0.1,0.612330241954615,0,0.03575852123678302,0.0,SPY,2024-04-30
WING,2024-04-30,SPY,XLY,,LR,0.55,0.02,0.5547814075312311,0,0.007911959666161213,0.0,SPY,2024-04-30
PFGC,2024-04-30,SPY,XLF,MDY,RF,0.625,0.04,0.6447075115848788,0,0.009950027661752498,0.0,SPY,2024-04-30
PLNT,2024-04-30,SPY,XLI,MDY,RF,0.55,0.08,0.5292137625023833,0,-0.01666563538266128,-0.0,SPY,2024-04-30
POST,2024-04-30,SPY,XLP,MDY,LR,0.55,0.06,0.6072307626104211,0,-0.0065724320453602655,-0.0,SPY,2024-04-30
PRI,2024-04-30,SPY,XLF,MDY,LR,0.575,0.1,0.6476343123156453,0,0.018336536304308117,0.0,SPY,2024-04-30
QLYS,2024-04-30,SPY,XLY,,LR,0.625,0.08,0.5520624114654009,0,0.014526695888788937,0.0,SPY,2024-04-30
REXR,2024-04-30,SPY,XLRE,MDY,LR,0.6,0.1,0.576261371688591,0,-0.008161519944693062,-0.0,SPY,2024-04-30
RGA,2024-04-30,SPY,XLF,MDY,LR,0.55,0.08,0.6265089744121719,0,0.021957781930500388,0.0,SPY,2024-04-30
RH,2024-04-30,SPY,XLY,MDY,RF,0.55,0.06,0.5370328021022229,0,0.009411186847159235,0.0,SPY,2024-04-30
SAIC,2024-04-30,SPY,XLI,MDY,LR,0.6,0.08,0.5379474994691095,0,0.004561504259444023,0.0,SPY,2024-04-30
SFM,2024-04-30,SPY,XLI,,RF,0.55,0.1,0.5402489358118594,0,-0.022899011807081007,-0.0,SPY,2024-04-30
VC,2024-04-30,SPY,XLB,MDY,RF,0.65,0.1,0.5665765192062256,0,0.011529531815986158,0.0,SPY,2024-04-30
STAG,2024-04-30,SPY,XLRE,MDY,RF,0.575,0.1,0.6332479411647589,0,0.013272201880631572,0.0,SPY,2024-04-30
STWD,2024-04-30,SPY,XLRE,MDY,LR,0.6,0.08,0.6462217944296599,0,0.010181460099392818,0.0,SPY,2024-04-30
ALLY,2024-04-30,SPY,XLF,MDY,RF,0.65,0.08,0.5876234738426058,0,0.007734413476908149,0.0,SPY,2024-04-30
KBR,2024-04-30,SPY,XLI,MDY,LR,0.55,0.1,0.579275762992881,0,0.012792988425895355,0.0,SPY,2024-04-30
FIVE,2024-04-30,SPY,XLY,MDY,RF,0.55,0.06,0.5438154353959391,0,-0.024442435077601896,-0.0,SPY,2024-04-30
BLD,2024-04-30,SPY,XLB,MDY,RF,0.65,0.1,0.5876429551255014,0,0.006321154807502299,0.0,SPY,2024-04-30
CNH,2024-04-30,SPY,XLB,MDY,RF,0.575,0.1,0.6346770401821649,0,-0.009986439608586542,-0.0,SPY,2024-04-30
COTY,2024-04-30,SPY,XLB,MDY,RF,0.55,0.08,0.5390130414458644,0,-0.014084287142820479,-0.0,SPY,2024-04-30
CPRI,2024-04-30,SPY,XLB,MDY,RF,0.55,0.1,0.511625918501387,0,-0.009407302979576457,-0.0,SPY,2024-04-30
CROX,2024-04-30,SPY,XLY,MDY,RF,0.55,0.1,0.5330554096417448,0,0.006364142949269553,0.0,SPY,2024-04-30
IRDM,2024-04-30,SPY,XLI,IJR,RF,0.55,0.06,0.5083993580324715,0,0.018897842061513494,0.0,SPY,2024-04-30
ESNT,2024-04-30,SPY,XLF,MDY,RF,0.6,0.08,0.5679937306380821,0,0.013258200707445456,0.0,SPY,2024-04-30
BWXT,2024-04-30,SPY,XLI,MDY,LR,0.55,0.1,0.5265354570982753,0,0.0036386352160736094,0.0,SPY,2024-04-30
BURL,2024-04-30,SPY,XLY,MDY,RF,0.65,0.06,0.5973581212919876,0,0.0005899669434675965,0.0,SPY,2024-04-30
FAF,2024-04-30,SPY,XLRE,MDY,RF,0.6,0.1,0.6029204161579769,0,-0.005349763956632394,-0.0,SPY,2024-04-30
CHRD,2024-04-30,SPY,XLE,,RF,0.6,0.1,0.5174309669900079,0,0.0010854010398682022,0.0,SPY,2024-04-30
CELH,2024-04-30,SPY,XLY,,LR,0.55,0.1,0.5704418164409553,0,0.02639591921148639,0.0,SPY,2024-04-30
AXTA,2024-04-30,SPY,XLB,MDY,RF,0.575,0.08,0.6089890569856645,0,0.08439570801980385,0.0,SPY,2024-04-30
AVAV,2024-04-30,SPY,XLI,IJR,LR,0.575,0.06,0.5727897554148894,0,0.016412067130602406,0.0,SPY,2024-04-30
ARMK,2024-04-30,SPY,XLI,MDY,RF,0.625,0.06,0.5945359131783379,0,-0.006550132633666603,-0.0,SPY,2024-04-30
H,2024-04-30,SPY,XLI,MDY,LR,0.55,0.1,0.5297990829484677,0,0.008035324924017285,0.0,SPY,2024-04-30
HQY,2024-04-30,SPY,XLF,MDY,RF,0.55,0.1,0.5624561216383349,0,0.011373959429316132,0.0,SPY,2024-04-30
HLI,2024-04-30,SPY,XLF,MDY,RF,0.625,0.04,0.527266004706581,-1,0.0003509492620197513,-0.0013509492620197513,SPY,2024-04-30
IRT,2024-04-30,SPY,XLRE,MDY,LR,0.625,0.04,0.5529941122556755,-1,0.0005781096867218346,-0.0015781096867218346,SPY,2024-04-30
CIVI,2024-04-30,SPY,XLE,MDY,RF,0.575,0.02,0.5405160082791718,-1,0.0014146256867680089,-0.002414625686768009,SPY,2024-04-30
G,2024-04-30,SPY,XLI,,RF,0.65,0.06,0.5079631989804865,-1,0.003102316239359584,-0.004102316239359584,SPY,2024-04-30
OC,2024-04-30,SPY,XLI,MDY,RF,0.575,0.06,0.5068827309374256,-1,0.0049145053660438675,-0.0059145053660438675,SPY,2024-04-30
POR,2024-04-30,SPY,XLU,,RF,0.625,0.02,0.44252337333987385,-1,0.005086689664257876,-0.006086689664257876,SPY,2024-04-30
BRX,2024-04-30,SPY,XLRE,MDY,LR,0.65,0.02,0.6110072421581689,-1,0.00516673868772951,-0.00616673868772951,SPY,2024-04-30
AMH,2024-04-30,SPY,XLRE,,RF,0.575,0.02,0.5208183859190476,-1,0.005253462095923651,-0.006253462095923651,SPY,2024-04-30
EXLS,2024-04-30,SPY,XLI,,RF,0.65,0.08,0.5069970403842702,-1,0.008558985256883915,-0.009558985256883916,SPY,2024-04-30
IPGP,2024-04-30,SPY,XLK,MDY,LR,0.55,0.08,0.4413370831031134,-1,0.009162468796867305,-0.010162468796867306,SPY,2024-04-30
ACM,2024-04-30,SPY,XLI,MDY,RF,0.65,0.02,0.5876725100630042,-1,0.010294022503161727,-0.011294022503161728,SPY,2024-04-30
CVLT,2024-04-30,SPY,XLK,MDY,LR,0.625,0.04,0.49574906720960393,-1,0.010353230561560253,-0.011353230561560252,SPY,2024-04-30
SATS,2024-04-30,SPY,XLF,MDY,RF,0.6,0.02,0.4565975424654494,-1,0.011171678955409735,-0.012171678955409736,SPY,2024-04-30
TNL,2024-04-30,SPY,XLI,MDY,LR,0.65,0.06,0.5058190440645979,-1,0.011186831439940722,-0.012186831439940721,SPY,2024-04-30
GWRE,2024-04-30,SPY,XLK,,RF,0.625,0.02,0.47761875772520485,-1,0.013448260395239872,-0.014448260395239873,SPY,2024-04-30
GTLS,2024-04-30,SPY,XLI,MDY,RF,0.6,0.02,0.48337772743560037,-1,0.01367445935927146,-0.01467445935927146,SPY,2024-04-30
HOMB,2024-04-30,SPY,XLF,IJR,RF,0.6,0.02,0.5223409602944621,-1,0.013790455592234647,-0.014790455592234648,SPY,2024-04-30
FNF,2024-04-30,SPY,XLF,MDY,RF,0.6,0.06,0.5157319828418744,-1,0.014107694532503632,-0.015107694532503633,SPY,2024-04-30
EVR,2024-04-30,SPY,XLF,MDY,LR,0.625,0.04,0.5772597898970657,-1,0.016184649274091176,-0.017184649274091177,SPY,2024-04-30
GMED,2024-04-30,SPY,XLI,MDY,RF,0.625,0.02,0.5715105485647402,-1,0.01729651181551064,-0.01829651181551064,SPY,2024-04-30
FN,2024-04-30,SPY,XLK,,LR,0.65,0.02,0.5689992297453489,-1,0.018662636566485792,-0.019662636566485793,SPY,2024-04-30
ST,2024-04-30,SPY,XLI,MDY,LR,0.65,0.02,0.6030327753006107,-1,0.020834315312408057,-0.021834315312408058,SPY,2024-04-30
APPF,2024-04-30,SPY,XLI,,LR,0.575,0.1,0.4172475823635516,-1,0.02383207511016349,-0.02483207511016349,SPY,2024-04-30
