Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL
HGV,2025-03-31,QQQ,XLI,MDY,RF,0.65,0.06,0.5106537733499759,-1,-0.040416056742720516,0.039416056742720515
BILL,2025-03-31,QQQ,XLY,,LR,0.625,0.02,0.600662294405098,-1,-0.03786697120075634,0.03686697120075634
DOCS,2025-03-31,QQQ,XLC,,RF,0.6,0.08,0.49138179408640026,-1,-0.03295760433908595,0.03195760433908595
NVST,2025-03-31,QQQ,XLB,MDY,RF,0.625,0.08,0.43312571792199056,-1,-0.032660910558696556,0.031660910558696555
ROIV,2025-03-31,QQQ,XLI,,RF,0.55,0.1,0.3835213078700783,-1,-0.03245175647531774,0.03145175647531774
DUOL,2025-03-31,QQQ,XLK,,LR,0.55,0.04,0.5944019146388401,1,0.03111027701965826,0.03011027701965826
OKTA,2025-03-31,QQQ,XLK,,LR,0.55,0.02,0.4486232566089702,-1,-0.020838890343931334,0.019838890343931333
PR,2025-03-31,QQQ,XLE,IJR,RF,0.625,0.1,0.4971904713262928,-1,-0.020346346854402248,0.019346346854402247
FND,2025-03-31,QQQ,XLB,MDY,RF,0.65,0.04,0.5056990959583841,-1,-0.019811764171797686,0.018811764171797685
VNT,2025-03-31,QQQ,XLI,MDY,LR,0.65,0.04,0.1935597772584415,-1,-0.019273363877667184,0.018273363877667183
TWLO,2025-03-31,QQQ,XLY,,LR,0.575,0.04,0.44742696900151546,-1,-0.018895084650520748,0.017895084650520747
CAVA,2025-03-31,QQQ,XLK,,RF,0.55,0.02,0.47649437854491944,-1,-0.0169272337364198,0.0159272337364198
APG,2025-03-31,QQQ,XLI,MDY,LR,0.55,0.02,0.22750859139284915,-1,-0.01609138373962812,0.015091383739628119
NVT,2025-03-31,QQQ,XLI,MDY,RF,0.575,0.06,0.49190432223234226,-1,-0.015070517681949211,0.01407051768194921
NXT,2025-03-31,QQQ,XLI,MDY,LR,0.55,0.02,0.6413737622372918,1,0.014221270983468728,0.013221270983468727
ONTO,2025-03-31,QQQ,XLK,,RF,0.65,0.1,0.43462575608888193,-1,-0.013093553535739611,0.012093553535739612
WFRD,2025-03-31,QQQ,XLE,MDY,RF,0.575,0.02,0.47247849382922424,-1,-0.012032947279044134,0.011032947279044133
CR,2025-03-31,QQQ,XLI,MDY,RF,0.55,0.1,0.38898240805424594,-1,-0.010984015693988556,0.009984015693988556
PK,2025-03-31,QQQ,XLI,MDY,RF,0.625,0.06,0.5173265070812029,-1,-0.01079796824479339,0.009797968244793391
WH,2025-03-31,QQQ,XLI,MDY,LR,0.65,0.04,0.5802625075177663,-1,-0.010688854986259407,0.009688854986259408
MEDP,2025-03-31,QQQ,XLV,MDY,RF,0.625,0.02,0.46586055902317147,-1,-0.010512638701918183,0.009512638701918184
KNF,2025-03-31,QQQ,XLI,MDY,LR,0.55,0.1,0.37702851984906177,-1,-0.00893608525874811,0.007936085258748109
JHG,2025-03-31,QQQ,XLF,MDY,RF,0.65,0.02,0.4758855326872687,-1,-0.007938850889719178,0.0069388508897191776
PSN,2025-03-31,QQQ,XLI,MDY,RF,0.65,0.02,0.48511918021161304,-1,-0.007287576471595698,0.006287576471595698
RYAN,2025-03-31,QQQ,XLI,,LR,0.6,0.08,0.3865042596189005,-1,-0.005078273461505798,0.004078273461505798
VVV,2025-03-31,QQQ,XLB,MDY,RF,0.65,0.02,0.4990277382550169,-1,-0.002793293573544044,0.001793293573544044
AVTR,2025-03-31,QQQ,XLV,,RF,0.6,0.02,0.49697242728740476,-1,-0.0024132825724040748,0.0014132825724040747
DOCU,2025-03-31,QQQ,XLY,,LR,0.55,0.1,0.3557429524660837,-1,-0.002306592236262183,0.001306592236262183
DTM,2025-03-31,QQQ,XLE,MDY,LR,0.575,0.1,0.354631074421611,-1,-0.002143173162798214,0.001143173162798214
BRBR,2025-03-31,QQQ,XLI,,RF,0.55,0.1,0.389047945260756,-1,-0.0017498311483966087,0.0007498311483966087
LIVN,2025-03-31,QQQ,XLF,MDY,RF,0.55,0.1,0.5412674125802843,0,-0.01497929734027759,-0.0
SHC,2025-03-31,QQQ,XLB,,RF,0.55,0.08,0.5175245041470948,0,-0.05381948539635744,-0.0
TLN,2025-03-31,QQQ,XLK,,RF,0.55,0.08,0.573302668355901,0,0.005554937538312269,0.0
UA,2025-03-31,QQQ,XLB,MDY,LR,0.65,0.1,0.6232825801066239,0,0.015782759725851806,0.0
HLNE,2025-03-31,QQQ,XLI,MDY,LR,0.575,0.08,0.5397092829568456,0,-0.00470897037135878,-0.0
USFD,2025-03-31,QQQ,XLF,MDY,LR,0.65,0.1,0.5761535860755193,0,0.00031232722831003087,0.0
KNSL,2025-03-31,QQQ,XLF,MDY,RF,0.575,0.08,0.5486244992483558,0,0.0001091615289647201,0.0
ELF,2025-03-31,QQQ,XLK,,LR,0.65,0.08,0.584545053019394,0,0.012925566994814359,0.0
WMG,2025-03-31,QQQ,XLC,,LR,0.55,0.1,0.641499790764665,0,-0.0029552470656229357,-0.0
BJ,2025-03-31,QQQ,XLP,,RF,0.55,0.1,0.464723621841133,0,0.007475815623214941,0.0
CNXC,2025-03-31,QQQ,XLB,MDY,RF,0.55,0.1,0.5527541804020923,0,-0.04187627743542544,-0.0
