Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL
UHS,2024-08-30,SPY,XLB,MDY,LR,0.6,0.08,0.7187129631781531,1,0.03570705724057996,0.03470705724057996
LLY,2024-08-30,SPY,XLV,,LR,0.575,0.1,0.7148213430122919,1,0.026939375587164888,0.025939375587164887
CAH,2024-08-30,SPY,XLV,,LR,0.55,0.06,0.6217954031345794,1,0.022704367676072916,0.021704367676072915
PFE,2024-08-30,SPY,XLV,,RF,0.6,0.02,0.523455562986198,-1,-0.02108112689422598,0.02008112689422598
TECH,2024-08-30,SPY,XLV,MDY,LR,0.625,0.04,0.6711018802209557,1,0.021029131728343118,0.020029131728343117
CME,2024-08-30,SPY,XLP,,RF,0.625,0.02,0.5908077599002933,-1,-0.020363687128665153,0.019363687128665152
WST,2024-08-30,SPY,XLV,,LR,0.625,0.02,0.6024883550549387,-1,-0.01897023277843097,0.017970232778430968
TKO,2024-08-30,SPY,XLI,IJR,LR,0.55,0.04,0.720645013556422,1,0.018808310380947085,0.017808310380947084
ELV,2024-08-30,SPY,XLV,,LR,0.55,0.08,0.6697954252807429,1,0.01872686679878549,0.01772686679878549
MMM,2024-08-30,SPY,XLI,,LR,0.65,0.02,0.6954280126152501,1,0.017852429817702953,0.016852429817702953
K,2024-08-30,SPY,XLP,,LR,0.625,0.02,0.4570425656760383,-1,-0.017551500813365324,0.016551500813365323
LIN,2024-08-30,SPY,XLB,,LR,0.55,0.02,0.6884823960087455,1,0.016007759081222414,0.015007759081222413
COR,2024-08-30,SPY,XLV,,LR,0.55,0.02,0.6047322789583073,1,0.01563952391441708,0.014639523914417078
DVA,2024-08-30,SPY,XLV,,LR,0.55,0.06,0.6216889906905602,1,0.015505145350833124,0.014505145350833124
TRV,2024-08-30,SPY,XLF,,LR,0.55,0.1,0.6843010061984454,1,0.014540898132395131,0.013540898132395132
DECK,2024-08-30,SPY,XLY,MDY,LR,0.55,0.1,0.6693761878473414,1,0.01441302518003296,0.01341302518003296
MSI,2024-08-30,SPY,XLI,,LR,0.55,0.1,0.7543159917826671,1,0.01368273449041742,0.01268273449041742
GS,2024-08-30,SPY,XLF,,LR,0.625,0.08,0.44454726799483146,-1,-0.013067718454905284,0.012067718454905285
TTWO,2024-08-30,SPY,XLC,,RF,0.575,0.02,0.47497865751869817,-1,-0.012424303691409698,0.011424303691409697
BKNG,2024-08-30,SPY,XLY,,LR,0.55,0.04,0.6178879132337171,1,0.012180698900107418,0.011180698900107418
A,2024-08-30,SPY,XLV,,RF,0.65,0.08,0.5251478942722466,-1,-0.011150868079020052,0.010150868079020051
ROL,2024-08-30,SPY,XLP,MDY,LR,0.575,0.08,0.6942190216647074,1,0.011138015192557102,0.010138015192557102
BA,2024-08-30,SPY,XLI,,RF,0.55,0.04,0.499301522673748,-1,-0.011091541404839596,0.010091541404839595
WBD,2024-08-30,SPY,XLC,MDY,RF,0.625,0.02,0.4607308130590345,-1,-0.010384786166568245,0.009384786166568244
