Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL
TPL,2024-12-31,QQQ,XLE,MDY,LR,0.625,0.04,0.7066252050308431,1,0.050408732597206116,0.049408732597206115
PPG,2024-12-31,QQQ,XLB,,RF,0.65,0.06,0.4914002270241869,-1,-0.024846977518398747,0.023846977518398746
AAPL,2024-12-31,QQQ,XLK,,RF,0.575,0.1,0.462519103896623,-1,-0.024086532121342537,0.023086532121342537
NKE,2024-12-31,QQQ,XLY,,LR,0.575,0.02,0.5119971754051346,-1,-0.02283471051027679,0.02183471051027679
FDX,2024-12-31,QQQ,XLI,,LR,0.625,0.02,0.41643985889604956,-1,-0.022475516523694693,0.021475516523694692
DECK,2024-12-31,QQQ,XLY,MDY,LR,0.55,0.1,0.7236324016482617,1,0.0202847971949057,0.0192847971949057
EW,2024-12-31,QQQ,XLV,,LR,0.65,0.02,0.6287274399315788,-1,-0.01881188910788279,0.01781188910788279
BIIB,2024-12-31,QQQ,XLV,,RF,0.625,0.04,0.5262255636991955,-1,-0.018486451901775374,0.017486451901775373
F,2024-12-31,QQQ,XLI,MDY,RF,0.575,0.06,0.4990850193453574,-1,-0.01830604143939578,0.017306041439395778
NI,2024-12-31,QQQ,XLU,,RF,0.65,0.02,0.5059539263833863,-1,-0.017123271231459028,0.016123271231459027
BF-B,2024-12-31,QQQ,XLP,,RF,0.575,0.02,0.5445229940117609,-1,-0.01674006235865808,0.015740062358658078
AZO,2024-12-31,QQQ,XLP,,LR,0.55,0.02,0.6139478822197245,1,0.0163826839838256,0.015382683983825599
EMN,2024-12-31,QQQ,XLB,MDY,LR,0.575,0.1,0.45937202718484693,-1,-0.01613196756754345,0.01513196756754345
UPS,2024-12-31,QQQ,XLI,,LR,0.65,0.04,0.5056048651410852,-1,-0.015928434538465503,0.014928434538465502
XEL,2024-12-31,QQQ,XLU,,RF,0.6,0.02,0.49770519415318937,-1,-0.015914588958919458,0.014914588958919457
IFF,2024-12-31,QQQ,XLB,,LR,0.65,0.04,0.5971629316224373,-1,-0.0154155931245794,0.0144155931245794
CVS,2024-12-31,QQQ,XLV,,RF,0.625,0.02,0.489967977619283,-1,-0.015077941412696786,0.014077941412696787
ON,2024-12-31,QQQ,XLK,MDY,RF,0.575,0.08,0.4493812699098729,-1,-0.0143746759176013,0.0133746759176013
PCG,2024-12-31,QQQ,XLU,,RF,0.65,0.1,0.47933886734909636,-1,-0.01402125867781557,0.013021258677815568
COO,2024-12-31,QQQ,XLV,,RF,0.575,0.02,0.48456742966564,-1,-0.013705526301464691,0.012705526301464692
GLW,2024-12-31,QQQ,XLI,,LR,0.625,0.02,0.40807902824833575,-1,-0.01358944894570013,0.012589448945700129
CNP,2024-12-31,QQQ,XLU,,LR,0.65,0.02,0.4602810938068339,-1,-0.013215845172933921,0.01221584517293392
CPRT,2024-12-31,QQQ,XLI,,LR,0.625,0.02,0.48839541384153556,-1,-0.012943834888169223,0.011943834888169223
ADM,2024-12-31,QQQ,XLE,,LR,0.575,0.08,0.47470338985715543,-1,-0.01264578252415312,0.01164578252415312
STE,2024-12-31,QQQ,XLB,,RF,0.6,0.02,0.5445883188619224,-1,-0.01235116724619532,0.01135116724619532
MOH,2024-12-31,QQQ,XLV,,RF,0.625,0.04,0.5136462677355038,-1,-0.01230785214474856,0.01130785214474856
AVY,2024-12-31,QQQ,XLB,,RF,0.6,0.08,0.5000617971925412,-1,-0.012092812584521637,0.011092812584521636
ROK,2024-12-31,QQQ,XLI,,LR,0.625,0.1,0.2944784311154886,-1,-0.011812853921030098,0.010812853921030097
IRM,2024-12-31,QQQ,XLRE,,LR,0.55,0.02,0.6803117778451673,1,0.011717688200827758,0.010717688200827757
SRE,2024-12-31,QQQ,XLU,,RF,0.65,0.06,0.45578849623457884,-1,-0.011404859721981216,0.010404859721981217
XOM,2024-12-31,QQQ,XLE,,RF,0.65,0.02,0.4695368463645654,-1,-0.011336265402529227,0.010336265402529226
JKHY,2024-12-31,QQQ,XLP,,RF,0.625,0.02,0.5546253232333376,-1,-0.011213190290693339,0.010213190290693338
