Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL,Suite,SignalDate
LEG,2024-04-30,SPY,XLB,MDY,RF,0.625,0.08,0.5088943449957438,-1,-0.2698983231732634,0.2688983231732634,SPY,2024-04-30
OI,2024-04-30,SPY,XLB,MDY,RF,0.575,0.02,0.48986712412470773,-1,-0.16305289472248338,0.16205289472248338,SPY,2024-04-30
CENX,2024-04-30,SPY,XLB,MDY,RF,0.6,0.06,0.48970599351913974,-1,-0.08416951448982428,0.08316951448982428,SPY,2024-04-30
RDNT,2024-04-30,SPY,XLY,MDY,LR,0.575,0.06,0.6916365345554764,1,0.047958858877404725,0.046958858877404724,SPY,2024-04-30
FWRD,2024-04-30,SPY,XLI,IJR,RF,0.65,0.02,0.5642340117171797,-1,-0.040462900735716005,0.039462900735716004,SPY,2024-04-30
KAI,2024-04-30,SPY,XLI,IJR,RF,0.6,0.06,0.5094644873534026,-1,-0.03872007158101936,0.03772007158101936,SPY,2024-04-30
STAA,2024-04-30,SPY,XLB,IJR,LR,0.625,0.04,0.470561303552483,-1,-0.036496199911695344,0.03549619991169534,SPY,2024-04-30
GES,2024-04-30,SPY,XLB,MDY,LR,0.65,0.08,0.5289938454974922,-1,-0.03327329548466651,0.03227329548466651,SPY,2024-04-30
VSH,2024-04-30,SPY,XLI,MDY,LR,0.65,0.02,0.47166253389334545,-1,-0.03299791593151929,0.03199791593151929,SPY,2024-04-30
CBRL,2024-04-30,SPY,XLI,MDY,RF,0.65,0.06,0.5543973835086236,-1,-0.030023908606854152,0.02902390860685415,SPY,2024-04-30
NWL,2024-04-30,SPY,XLB,MDY,RF,0.65,0.08,0.4757653281363636,-1,-0.02811590576099642,0.027115905760996418,SPY,2024-04-30
QDEL,2024-04-30,SPY,XLV,IJR,LR,0.625,0.08,0.5013906820980822,-1,-0.023367035299761026,0.022367035299761025,SPY,2024-04-30
ALKS,2024-04-30,SPY,XLV,MDY,RF,0.625,0.02,0.5361888354741522,-1,-0.02208087523273351,0.02108087523273351,SPY,2024-04-30
WEN,2024-04-30,SPY,XLB,MDY,RF,0.6,0.02,0.5268361800388794,-1,-0.019290645758667086,0.018290645758667085,SPY,2024-04-30
WWW,2024-04-30,SPY,XLY,IJR,RF,0.625,0.02,0.5137401453510797,-1,-0.01676025430358738,0.01576025430358738,SPY,2024-04-30
AEO,2024-04-30,SPY,XLI,MDY,RF,0.55,0.04,0.47687896078584446,-1,-0.0153898831315315,0.0143898831315315,SPY,2024-04-30
HSTM,2024-04-30,SPY,XLI,MDY,LR,0.575,0.04,0.6572303439944199,1,0.015008712049214605,0.014008712049214604,SPY,2024-04-30
PZZA,2024-04-30,SPY,XLB,MDY,LR,0.65,0.06,0.5216976781135547,-1,-0.013891833895437376,0.012891833895437375,SPY,2024-04-30
ACHC,2024-04-30,SPY,XLV,MDY,RF,0.625,0.06,0.5428378639870248,-1,-0.012902247626295044,0.011902247626295045,SPY,2024-04-30
DIOD,2024-04-30,SPY,XLK,MDY,RF,0.625,0.1,0.5084594139559635,-1,-0.012755736162449129,0.01175573616244913,SPY,2024-04-30
MODG,2024-04-30,SPY,XLB,MDY,LR,0.55,0.1,0.3721827147039077,-1,-0.012224743955361241,0.01122474395536124,SPY,2024-04-30
TNC,2024-04-30,SPY,XLI,IJR,LR,0.55,0.1,0.41001165105984094,-1,-0.011804325682777913,0.010804325682777914,SPY,2024-04-30
PLUS,2024-04-30,SPY,XLI,IJR,LR,0.625,0.02,0.5709895123408618,-1,-0.010546910654856871,0.009546910654856872,SPY,2024-04-30
ROG,2024-04-30,SPY,XLB,IJR,RF,0.6,0.08,0.45532316565630815,-1,-0.010200618967568497,0.009200618967568498,SPY,2024-04-30
MGPI,2024-04-30,SPY,XLB,MDY,RF,0.6,0.06,0.5110124367481392,-1,-0.009441762329784975,0.008441762329784976,SPY,2024-04-30
IDCC,2024-04-30,SPY,XLC,MDY,RF,0.65,0.02,0.5815778051080163,-1,-0.009104098631916385,0.008104098631916384,SPY,2024-04-30
FUN,2024-04-30,SPY,XLY,MDY,RF,0.625,0.1,0.5172202409417485,-1,-0.008739644859634686,0.007739644859634686,SPY,2024-04-30
MATW,2024-04-30,SPY,XLI,IJR,LR,0.55,0.06,0.47744008452779624,-1,-0.008087313018805943,0.007087313018805943,SPY,2024-04-30
NWN,2024-04-30,SPY,XLU,IJR,RF,0.65,0.02,0.5537434137675586,-1,-0.008007770069988603,0.0070077700699886026,SPY,2024-04-30
DRH,2024-04-30,SPY,XLB,MDY,RF,0.625,0.02,0.5488223946290447,-1,-0.007865033059730088,0.006865033059730088,SPY,2024-04-30
ZD,2024-04-30,SPY,XLI,IJR,LR,0.625,0.04,0.45855462290300325,-1,-0.0077381143059226795,0.0067381143059226795,SPY,2024-04-30
PBI,2024-04-30,SPY,XLI,MDY,RF,0.625,0.06,0.5214100130675947,-1,-0.007659341244160163,0.006659341244160163,SPY,2024-04-30
BJRI,2024-04-30,SPY,XLY,MDY,LR,0.55,0.02,0.4519008696370884,-1,-0.007173337812093,0.006173337812093,SPY,2024-04-30
VYX,2024-04-30,SPY,XLI,MDY,LR,0.6,0.02,0.4937853330728718,-1,-0.006479645110380311,0.005479645110380311,SPY,2024-04-30
ICUI,2024-04-30,SPY,XLB,IJR,RF,0.6,0.02,0.49782030554075407,-1,-0.005868232992347088,0.004868232992347088,SPY,2024-04-30
AVA,2024-04-30,SPY,XLU,IJR,LR,0.6,0.02,0.6208232472695437,1,0.005859340929480805,0.004859340929480805,SPY,2024-04-30
CEVA,2024-04-30,SPY,XLK,IJR,RF,0.65,0.1,0.532366426530335,-1,-0.005711321367768305,0.004711321367768305,SPY,2024-04-30
ANDE,2024-04-30,SPY,XLB,IJR,LR,0.55,0.06,0.4636694082774625,-1,-0.005124691996999284,0.004124691996999284,SPY,2024-04-30
AMN,2024-04-30,SPY,XLB,IJR,RF,0.6,0.02,0.5616748270886669,-1,-0.005123274862049345,0.004123274862049345,SPY,2024-04-30
KSS,2024-04-30,SPY,XLY,MDY,LR,0.55,0.06,0.40829524835872993,-1,-0.005077010897334619,0.004077010897334619,SPY,2024-04-30
URBN,2024-04-30,SPY,XLY,MDY,LR,0.55,0.1,0.39974720820071374,-1,-0.004656126133391798,0.0036561261333917976,SPY,2024-04-30
GVA,2024-04-30,SPY,XLI,MDY,LR,0.575,0.06,0.4987715353565441,-1,-0.004186323650668939,0.0031863236506689393,SPY,2024-04-30
USPH,2024-04-30,SPY,XLB,IJR,RF,0.625,0.04,0.5435079956556664,-1,-0.004109086864878136,0.0031090868648781357,SPY,2024-04-30
AAP,2024-04-30,SPY,XLB,MDY,RF,0.575,0.02,0.5182331725873397,-1,-0.0040690048783909045,0.0030690048783909045,SPY,2024-04-30
IIIN,2024-04-30,SPY,XLI,IJR,RF,0.625,0.04,0.5321261735669038,-1,-0.0037992320837035394,0.0027992320837035393,SPY,2024-04-30
BKE,2024-04-30,SPY,XLI,IJR,RF,0.65,0.02,0.530612658688407,-1,-0.002924785040690057,0.0019247850406900568,SPY,2024-04-30
NPO,2024-04-30,SPY,XLI,IJR,RF,0.625,0.08,0.4983315613240276,-1,-0.002685173184930379,0.001685173184930379,SPY,2024-04-30
SAH,2024-04-30,SPY,XLI,MDY,RF,0.6,0.02,0.49516068026959287,-1,-0.002294185911261755,0.001294185911261755,SPY,2024-04-30
CRI,2024-04-30,SPY,XLB,MDY,LR,0.575,0.06,0.5098781964371178,-1,-0.002182136505012179,0.001182136505012179,SPY,2024-04-30
PTEN,2024-04-30,SPY,XLE,MDY,RF,0.575,0.02,0.5514700708611443,-1,-0.002012363620501837,0.001012363620501837,SPY,2024-04-30
IART,2024-04-30,SPY,XLB,MDY,RF,0.625,0.02,0.4809050083354554,-1,-0.0017357780642227967,0.0007357780642227967,SPY,2024-04-30
LCII,2024-04-30,SPY,XLI,IJR,RF,0.65,0.1,0.533470639309473,-1,-0.0016796541215114416,0.0006796541215114416,SPY,2024-04-30
WLY,2024-04-30,SPY,XLB,MDY,LR,0.6,0.08,0.4011498285252116,-1,-0.0014133039516182199,0.00041330395161821984,SPY,2024-04-30
VICR,2024-04-30,SPY,XLK,MDY,RF,0.625,0.02,0.5234523785706936,-1,-0.0013592092613484677,0.0003592092613484677,SPY,2024-04-30
BFS,2024-04-30,SPY,XLRE,IJR,LR,0.6,0.02,0.6034002568021384,0,0.010301122300945126,0.0,SPY,2024-04-30
NSIT,2024-04-30,SPY,XLI,IJR,RF,0.55,0.1,0.5362514115671584,0,-0.04861899321557823,-0.0,SPY,2024-04-30
NEOG,2024-04-30,SPY,XLB,IJR,LR,0.575,0.08,0.528687189229107,0,-0.013493489816197718,-0.0,SPY,2024-04-30
NPK,2024-04-30,SPY,XLI,IJR,LR,0.6,0.1,0.643808947067001,0,0.013961121130256667,0.0,SPY,2024-04-30
NHC,2024-04-30,SPY,XLF,IJR,LR,0.55,0.08,0.5626338578431358,0,0.012961788729158756,0.0,SPY,2024-04-30
NX,2024-04-30,SPY,XLI,IJR,RF,0.55,0.1,0.513961731205455,0,0.0009083656234442658,0.0,SPY,2024-04-30
NBTB,2024-04-30,SPY,XLF,IJR,LR,0.55,0.06,0.5461136238882331,0,0.032553489958803895,0.0,SPY,2024-04-30
MYGN,2024-04-30,SPY,XLY,MDY,LR,0.575,0.1,0.524672611720376,0,0.007529601909792498,0.0,SPY,2024-04-30
MTRN,2024-04-30,SPY,XLB,MDY,RF,0.6,0.1,0.5846739160094613,0,-0.005667769570913211,-0.0,SPY,2024-04-30
AIR,2024-04-30,SPY,XLI,IJR,LR,0.575,0.1,0.5260173155340798,0,0.0011505661139526923,0.0,SPY,2024-04-30
OTTR,2024-04-30,SPY,XLI,IJR,LR,0.55,0.08,0.579738171657274,0,0.017081645344255245,0.0,SPY,2024-04-30
OFG,2024-04-30,SPY,XLF,IJR,LR,0.575,0.08,0.5009789799979392,0,0.014891405611709168,0.0,SPY,2024-04-30
AGYS,2024-04-30,SPY,XLI,IJR,RF,0.55,0.1,0.5094611308925779,0,-0.00032170189854764924,-0.0,SPY,2024-04-30
OII,2024-04-30,SPY,XLE,MDY,LR,0.55,0.1,0.5017913505233443,0,-0.0008579619022214944,-0.0,SPY,2024-04-30
