Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL
FTRE,2025-03-31,SPY,XLB,MDY,RF,0.625,0.04,0.5368156021403534,-1,-0.08862940651688407,0.08762940651688407
HTZ,2025-03-31,SPY,XLY,MDY,LR,0.55,0.06,0.264995454656682,-1,-0.08082121205097617,0.07982121205097617
SNCY,2025-03-31,SPY,XLI,MDY,LR,0.55,0.1,0.4094692094610462,-1,-0.07805653665768986,0.07705653665768986
SDGR,2025-03-31,SPY,XLY,MDY,RF,0.55,0.04,0.4448169189563401,-1,-0.07216119289186958,0.07116119289186958
VIR,2025-03-31,SPY,XLY,,RF,0.625,0.02,0.5684537449687551,-1,-0.06468443485095778,0.06368443485095777
PI,2025-03-31,SPY,XLI,MDY,RF,0.65,0.08,0.45499182345971007,-1,-0.04521674467591729,0.04421674467591729
ARLO,2025-03-31,SPY,XLY,MDY,LR,0.575,0.1,0.3699028351797504,-1,-0.04233187579049747,0.04133187579049747
ICHR,2025-03-31,SPY,XLK,MDY,RF,0.65,0.02,0.5287516632308826,-1,-0.04154008289771845,0.040540082897718446
HRMY,2025-03-31,SPY,XLI,MDY,RF,0.575,0.06,0.4563485652602223,-1,-0.03271361941830644,0.03171361941830644
NGVT,2025-03-31,SPY,XLB,IJR,LR,0.625,0.06,0.5237643540632564,-1,-0.03129169447782096,0.030291694477820957
CRGY,2025-03-31,SPY,XLE,MDY,RF,0.55,0.04,0.45625003912960915,-1,-0.030665991878275616,0.029665991878275615
HAYW,2025-03-31,SPY,XLI,MDY,RF,0.55,0.1,0.4298284436606427,-1,-0.030543813050643326,0.029543813050643325
WSC,2025-03-31,SPY,XLI,MDY,RF,0.625,0.06,0.377193590998919,-1,-0.029852937676114757,0.028852937676114757
XPEL,2025-03-31,SPY,XLI,MDY,RF,0.55,0.1,0.44678864492996107,-1,-0.029702165825275666,0.028702165825275665
ADNT,2025-03-31,SPY,XLB,MDY,LR,0.65,0.02,0.5743554364340897,-1,-0.02957139978917212,0.02857139978917212
OGN,2025-03-31,SPY,XLV,MDY,RF,0.55,0.1,0.4414927844933844,-1,-0.026712507592881247,0.025712507592881247
CRSR,2025-03-31,SPY,XLK,IJR,LR,0.55,0.02,0.21304101335708117,-1,-0.025870332948478604,0.024870332948478603
MIR,2025-03-31,SPY,XLI,,LR,0.625,0.02,0.16450279693523442,-1,-0.024731776753219147,0.023731776753219146
GDYN,2025-03-31,SPY,XLY,MDY,RF,0.575,0.1,0.4558983016022253,-1,-0.024381809955626426,0.023381809955626425
DFH,2025-03-31,SPY,XLB,MDY,LR,0.65,0.02,0.3898407744975465,-1,-0.021997846651618497,0.020997846651618496
EYE,2025-03-31,SPY,XLY,MDY,LR,0.625,0.06,0.5571300913836663,-1,-0.02165647403642121,0.020656474036421207
ASIX,2025-03-31,SPY,XLB,IJR,RF,0.575,0.02,0.485329303788158,-1,-0.020417474439141714,0.019417474439141713
PENG,2025-03-31,SPY,XLK,,LR,0.65,0.1,0.4677487027743493,-1,-0.02003675612096842,0.019036756120968418
EXPI,2025-03-31,SPY,XLY,MDY,LR,0.6,0.02,0.28591458102842826,-1,-0.019272036506277034,0.018272036506277033
KREF,2025-03-31,SPY,XLRE,MDY,RF,0.625,0.02,0.5362205180694591,-1,-0.019138210751211495,0.018138210751211494
PTGX,2025-03-31,SPY,XLRE,MDY,LR,0.625,0.1,0.4282414776612474,-1,-0.018916891759143555,0.017916891759143554
CERT,2025-03-31,SPY,XLB,MDY,RF,0.625,0.08,0.44530962297856436,-1,-0.018586032725432296,0.017586032725432296
MBC,2025-03-31,SPY,XLB,MDY,LR,0.55,0.1,0.22205071444915783,-1,-0.017971266937363436,0.016971266937363436
JBGS,2025-03-31,SPY,XLRE,MDY,RF,0.65,0.02,0.4563074399861643,-1,-0.017569234790229687,0.016569234790229686
SITM,2025-03-31,SPY,XLK,,RF,0.55,0.08,0.4049990536574503,-1,-0.015080757007775196,0.014080757007775196
INSP,2025-03-31,SPY,XLI,,RF,0.55,0.02,0.5281041306979841,-1,-0.015053734460009254,0.014053734460009255
