Ticker,Date,Market,Sector,Size,Model,Threshold,Band,ProbaUp,Decision,ExcessRetNext,NetPnL,Suite,SignalDate
MIR,2024-04-30,SPY,XLI,,RF,0.55,0.04,0.4872503563271468,-1,-0.05384223605656796,0.05284223605656796,SPY,2024-04-30
ASO,2024-04-30,SPY,XLI,MDY,LR,0.575,0.02,0.41702390556010427,-1,-0.02313904734580002,0.02213904734580002,SPY,2024-04-30
HRMY,2024-04-30,SPY,XLI,MDY,RF,0.625,0.02,0.4911274151402109,-1,-0.016969810905832005,0.015969810905832004,SPY,2024-04-30
CRGY,2024-04-30,SPY,XLE,MDY,LR,0.65,0.06,0.29689004051036627,-1,-0.014815302439686791,0.013815302439686792,SPY,2024-04-30
PRVA,2024-04-30,SPY,XLY,MDY,RF,0.575,0.08,0.4758985402965006,-1,-0.010522970026752006,0.009522970026752006,SPY,2024-04-30
BTU,2024-04-30,SPY,XLE,MDY,RF,0.6,0.08,0.5174783984859864,-1,-0.009325804578937785,0.008325804578937786,SPY,2024-04-30
PAYO,2024-04-30,SPY,XLC,,RF,0.55,0.04,0.4718951205178508,-1,-0.005573212676744714,0.004573212676744714,SPY,2024-04-30
GO,2024-04-30,SPY,XLP,,LR,0.575,0.08,0.30337877764484916,-1,-0.005467512721626284,0.004467512721626284,SPY,2024-04-30
VCTR,2024-04-30,SPY,XLF,MDY,LR,0.575,0.04,0.5308866536323056,-1,-0.005222996730518759,0.004222996730518759,SPY,2024-04-30
KTB,2024-04-30,SPY,XLB,IJR,LR,0.55,0.1,0.37062414218967704,-1,-0.0035286788212368055,0.0025286788212368055,SPY,2024-04-30
BL,2024-04-30,SPY,XLB,,RF,0.65,0.02,0.47878656379346834,-1,-0.0030361812573168447,0.0020361812573168447,SPY,2024-04-30
REYN,2024-04-30,SPY,XLP,,LR,0.575,0.06,0.6688579869913148,1,0.0020400864320401476,0.0010400864320401475,SPY,2024-04-30
VSCO,2024-04-30,SPY,XLY,MDY,RF,0.65,0.02,0.5272401194055104,-1,-0.0016789436543239542,0.0006789436543239542,SPY,2024-04-30
HTZ,2024-04-30,SPY,XLY,MDY,LR,0.6,0.02,0.47405337916164053,-1,-0.001288772522955145,0.000288772522955145,SPY,2024-04-30
HAYW,2024-04-30,SPY,XLI,MDY,LR,0.65,0.06,0.6698262477740589,0,0.0037543442932531056,0.0,SPY,2024-04-30
SITM,2024-04-30,SPY,XLK,,LR,0.55,0.1,0.5805517070647748,0,-0.0007968476833886216,-0.0,SPY,2024-04-30
LBRT,2024-04-30,SPY,XLE,IJR,LR,0.55,0.08,0.49330136232497224,0,-0.026419258511089245,-0.0,SPY,2024-04-30
GTES,2024-04-30,SPY,XLI,MDY,RF,0.575,0.1,0.5863056132195819,0,-0.062174807509543316,-0.0,SPY,2024-04-30
SLVM,2024-04-30,SPY,XLB,MDY,RF,0.6,0.1,0.5875058214851333,0,0.002068424170424789,0.0,SPY,2024-04-30
MGY,2024-04-30,SPY,XLE,IJR,LR,0.6,0.1,0.5141487372296932,0,-0.00024651617262297907,-0.0,SPY,2024-04-30
SMPL,2024-04-30,SPY,XLP,,RF,0.55,0.08,0.5349241814417416,0,0.011782821630076,0.0,SPY,2024-04-30
GOLF,2024-04-30,SPY,XLI,MDY,LR,0.6,0.1,0.617989300215805,0,0.003708989207670087,0.0,SPY,2024-04-30
ACT,2024-04-30,SPY,XLF,MDY,RF,0.55,0.1,0.524937770459594,0,0.009990406541864514,0.0,SPY,2024-04-30
ICHR,2024-04-30,SPY,XLK,MDY,RF,0.65,0.04,0.6233206403362733,0,-0.007394509855461519,-0.0,SPY,2024-04-30
IIPR,2024-04-30,SPY,XLRE,MDY,RF,0.55,0.1,0.500976798310814,0,0.021916041852579206,0.0,SPY,2024-04-30
FHB,2024-04-30,SPY,XLF,IJR,RF,0.625,0.08,0.6117734076612563,0,0.020374541760216722,0.0,SPY,2024-04-30
JBGS,2024-04-30,SPY,XLRE,MDY,LR,0.625,0.04,0.5897635168707116,0,-0.034079625356425114,-0.0,SPY,2024-04-30
