Suite,Scenario,MeanSharpe,MedianSharpe,MeanCAGR,MedianCAGR,MeanMaxDD,NTickers
QQQ,sp500_short,0.3711327282288245,0.1472977403827028,0.15060582152410834,-0.0158637547717347,-0.3241635272818405,35
QQQ,sp600_short,0.3574102000851907,0.2653315074766363,0.21700370812764497,0.0120401278180022,-0.3724909923746486,101
QQQ,sp600_med,0.3425552678916404,0.4413565501661126,0.13929257206133505,0.0541962744404542,-0.37866039029667165,143
QQQ,sp600_long,0.2654635806909574,0.288310803087528,0.06478220738546245,0.0339753489389005,-0.4567420907623098,349
QQQ,sp400_long,0.20334946447806165,0.2738684896525833,0.055054910089761946,0.0278247038839067,-0.4480567570789237,251
QQQ,sp400_short,0.16895667631914515,0.043516383911950354,0.12643411162542106,-0.0214554652927576,-0.3846469759585843,64
QQQ,sp400_med,0.0840587271783703,0.12661219387746986,0.022895302145082896,-0.00466942560165505,-0.400229276236458,86
QQQ,sp500_long,0.07923570502467223,0.11187635227389085,0.02381173537958503,-0.0034971208430709,-0.3562671546614826,396
QQQ,sp500_med,-0.0658354177351505,-0.0437530190535747,-0.03311401111319959,-0.032331061461455,-0.3709059995309851,71
SPY,sp500_short,0.6028162872820377,0.3735256381927496,0.30041404944329847,0.0722159394583146,-0.3472449729648704,35
SPY,sp600_short,0.37597257729751593,0.417443610075395,0.21886252819881938,0.0692379387204373,-0.3947756421794229,101
SPY,sp600_med,0.32453096546583177,0.4602137919491625,0.15299278406980088,0.0581033456546857,-0.41269600836399967,143
SPY,sp600_long,0.2453916330092519,0.2824686915897091,0.05595678280727418,0.02647375841753635,-0.4801697043845674,349
SPY,sp400_long,0.21491678289353947,0.2581630654088688,0.06331118573390755,0.0205480787970921,-0.4599404787004265,251
SPY,sp400_med,0.20646274063608214,0.06988802132463046,0.06582352584762349,-0.0088024703124023,-0.37858994048867173,86
SPY,sp500_long,0.10976664571683184,0.1195796338202032,0.02616584327564661,-0.00011866094792210197,-0.3707147181736497,396
SPY,sp400_short,0.09465809347431497,0.14973489145005625,0.119473741625514,-0.014799543313104251,-0.3784283651636593,64
SPY,sp500_med,-0.04982583655743022,-0.0354424883244583,-0.006590251488051294,-0.0361943661198533,-0.3704370854196889,71
