Scenario,Ticker,MeanNetPnL,MedianNetPnL,Trades,Dates,NonFlatHit,Suite
sp400_long,ANF,0.004996173348637806,0.0,10,18,0.6,QQQ
sp400_long,SSD,0.004192219089667434,0.0,9,18,0.5555555555555556,QQQ
sp400_long,NSP,0.0041850515445239845,-6.83412559177e-05,15,18,0.4666666666666667,QQQ
sp400_long,CUZ,0.004156079569055733,-0.0,9,18,0.8888888888888888,QQQ
sp400_long,COKE,0.003978692665326761,0.00681283950672505,18,18,0.8333333333333334,QQQ
sp400_long,UGI,0.0038880663906563384,0.0,9,18,0.5555555555555556,QQQ
sp400_long,MANH,0.0036523509632022666,-0.0,16,18,0.5625,QQQ
sp400_long,ORI,0.003369556491470511,0.00043728321860015,11,18,0.8181818181818182,QQQ
sp400_long,SCI,0.0031352356795067773,0.0,15,18,0.5333333333333333,QQQ
sp400_long,CGNX,0.0030609713076404834,0.0,10,18,0.6,QQQ
sp400_long,HRB,0.00273344951018705,0.0,6,18,0.8333333333333334,QQQ
sp400_long,ASH,0.0026047130256676826,-0.0008001518452109,18,18,0.5555555555555556,QQQ
sp400_long,FLR,0.002466452442824745,0.0,11,18,0.45454545454545453,QQQ
sp400_long,BRKR,0.0019418253457748832,-0.0,9,18,0.5555555555555556,QQQ
sp400_long,ATR,0.0017638330640204168,0.0,6,18,0.5,QQQ
sp400_long,LPX,0.0016016429840465113,0.0,6,18,0.6666666666666666,QQQ
sp400_long,PEGA,0.0015353689806452111,0.0,1,18,1.0,QQQ
sp400_long,KRC,0.0013373884829447444,0.0,6,18,0.6666666666666666,QQQ
sp400_long,EPR,0.0012685969673940055,0.0,4,18,0.75,QQQ
sp400_long,TXNM,0.001159752823445871,-0.0007752858166172,18,18,0.5,QQQ
sp400_long,OGE,0.00111736662741415,0.00017317375036765,15,18,0.6,QQQ
sp400_long,EHC,0.0010415453556829888,0.0,10,18,0.6,QQQ
sp400_long,CASY,0.0009239473646473833,0.0,8,18,0.625,QQQ
sp400_long,RGLD,0.0008698925138288668,0.0,3,18,0.6666666666666666,QQQ
sp400_long,SR,0.0006539210616120943,-0.0,13,18,0.5384615384615384,QQQ
sp400_long,SLM,0.00046183701685208894,0.00114756956356515,17,18,0.5882352941176471,QQQ
sp400_long,CLH,0.00042940701620068384,0.0,15,18,0.5333333333333333,QQQ
sp400_long,WWD,0.00041296102922996664,0.0,1,18,1.0,QQQ
sp400_long,FCN,0.000385749098359761,-0.0,7,18,0.5714285714285714,QQQ
sp400_long,INGR,0.00037651011584343336,-0.00011628554823975,17,18,0.5294117647058824,QQQ
sp400_long,OHI,0.00031054730611446114,0.0,1,18,1.0,QQQ
