Ticker,Market,Sector,Size,Model,Threshold,Band,AUC,PR_AUC,CAGR,Sharpe,MaxDD,TradeRate,Scenario,Suite
NOVT,QQQ,XLI,,RF,0.65,0.02,0.4933000038981796,0.4488646853935674,0.6153971774976279,1.6386359590532322,-0.40636880275119225,1.0,sp400_long,QQQ
FR,QQQ,XLRE,MDY,RF,0.6,0.02,0.5214358563415167,0.46408385353886566,0.424200250086751,1.5712501460722834,-0.23153099860572246,0.8789808917197452,sp400_long,QQQ
SYNA,QQQ,XLK,,LR,0.6,0.1,0.540472126030337,0.468346196908442,0.8333011588561225,1.5157060917336624,-0.39713329833664457,0.9099890230515917,sp400_long,QQQ
KNX,QQQ,XLI,MDY,RF,0.55,0.04,0.5386712459010032,0.5040969092948684,0.5044028264518674,1.398702758220719,-0.22865499237832132,0.8100987925356751,sp400_long,QQQ
ASGN,QQQ,XLI,IJR,LR,0.65,0.02,0.4894359334190933,0.44593743727690527,0.6174909693605077,1.319135714401864,-0.470134958152177,1.0,sp400_long,QQQ
WHR,QQQ,XLI,MDY,LR,0.65,0.1,0.5034771996435629,0.46322214118820754,0.6446326520201584,1.312486878522211,-0.43941489958128566,0.9714599341383096,sp400_long,QQQ
MKSI,QQQ,XLK,,RF,0.575,0.06,0.4784698529340293,0.4402561906711049,0.6141466987023763,1.240061851780228,-0.41291946924987133,0.9934138309549945,sp400_long,QQQ
CMA,QQQ,XLF,MDY,RF,0.575,0.06,0.4876242183334141,0.4652994145229935,0.5760302340444283,1.1816531286804361,-0.45004337126116056,0.9352360043907794,sp400_long,QQQ
EXPO,QQQ,XLI,IJR,RF,0.625,0.02,0.5231075231075231,0.483164647910288,0.4053711951220218,1.157764021469345,-0.4158380615214806,0.9769484083424808,sp400_long,QQQ
ASH,QQQ,XLB,MDY,LR,0.6,0.02,0.5106748609209797,0.4978667134060912,0.40464540017372563,1.0912256541168224,-0.4553485780832266,1.0,sp400_long,QQQ
